Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  154    2 0xffffff7f95227000 0x10000    0x10000    com.apple.driver.AppleOnboardSerial (1.0) 701FF70D-62E7-3950-AF25-5E812AD2C18D <74 55 9 7 6 3 1>
  155    1 0xffffff7f951e6000 0x2000     0x2000     com.apple.driver.AppleIntelLpssUARTCommon (3.0.60) 450DE170-BA38-3709-8B6F-680481702C85 <154 74 18 17 9 7 6 3 1>
  156    0 0xffffff7f951ed000 0xff4      0xff4      com.apple.driver.AppleIntelLpssUARTv1 (3.0.60) A62E5021-E47D-3FE4-A002-72626CC340A6 <155 154 74 18 17 9 7 6 3 1>
  157    2 0xffffff7f95718000 0x8ffc     0x8ffc     com.apple.iokit.IONDRVSupport (599) 658C49F6-D61A-3AEB-BC56-B8EF5D1A1424 <140 18 9 7 6 3>
  158    0 0xffffff7f94d4b000 0x13ff4    0x13ff4    com.apple.driver.AppleHV (1) 187D09A7-736E-3E9A-8211-33A3E1EEEAD6 <46 9 8 7 6 3 1>
  159    0 0xffffff7f94d63000 0x5000     0x5000     com.apple.driver.AppleIPAppender (1.0) 6677E633-CF6A-394D-A952-548FDFB9E26A <55 53 9 8 7 6 3 1>
  160    1 0xffffff7f957af000 0x8ff4     0x8ff4     com.apple.iokit.IORSMFamily (1) 2CAD2B1F-2FA5-34CE-B70C-DF7AE804896B <7 6 3 1>
  161    0 0xffffff7f95266000 0xcffd     0xcffd     com.apple.driver.AppleRSMChannel (1) 226B13A7-83F9-3BDA-A334-C1A9D76B1F8D <160 8 7 6 3 1>
  162    1 0xffffff7f95773000 0x2aff4    0x2aff4    com.apple.iokit.IORDMAFamily (1.0) 9CF10ADF-2008-3D49-87D0-4AC2DAEB18C7 <9 8 7 6 3 1>
  163    0 0xffffff7f95278000 0xf000     0xf000     com.apple.driver.AppleRXE (1.0) 3FC6AE8C-9A34-3728-8547-C75CFDCA7F91 <162 9 8 7 6 3 1>
  164    0 0xffffff7f95372000 0x2fff     0x2fff     com.apple.driver.AppleUIO (1) B17178A5-31C6-3D1C-9F54-E650320A8DD1 <18 8 7 6 3 1>
  165    0 0xffffff7f954a2000 0x22ff9    0x22ff9    com.apple.iokit.IOAVBFamily (1320.3) 114E6F5C-5429-3EF7-8B3E-A51A24E3C1EB <145 56 53 8 7 6 3 1>
  166    0 0xffffff7f95032000 0xd7ff9    0xd7ff9    com.apple.driver.AppleIntelKBLGraphics (23.0.7) 38DB97F0-4593-383F-8A72-105287936C63 <142 140 100 18 9 8 7 6 3 1>
  167    1 0xffffff7f94a32000 0x5ffa     0x5ffa     com.apple.driver.AppleCallbackPowerSource (1) 679798BC-C48D-32C8-88E5-BEBA42480BDC <8 7 6 3 1>
  168    0 0xffffff7f9570d000 0x6ff7     0x6ff7     com.apple.driver.IOHIDPowerSource (1) 917ECDED-C9CA-37B9-8B64-ED3B7E4D46B7 <167 60 8 7 6 3 1>
  169    0 0xffffff7f95882000 0x13ff4    0x13ff4    com.apple.driver.usb.AppleUSBUserHCI (1) 3FEF2DC5-37B6-30C0-93D8-A75FA05926A9 <38 36 8 7 6 3 1>
  170    0 0xffffff7f958a3000 0x4fff     0x4fff     com.apple.iokit.IOUserEthernet (1.0.1) FB0E7B9F-8563-3DE3-AAC1-F06E2FF4721A <53 8 7 6 3 1>
  171    3 0xffffff7f95c83000 0x2ffd     0x2ffd     com.apple.kext.triggers (1.0) 935C5492-4374-327F-B83E-CD6BE4DB0A69 <9 8 7 6 3 1>
  172    0 0xffffff7f95b06000 0xac000    0xac000    com.apple.filesystems.nfs (1) C6F2CA3C-54A7-3AA6-A959-AB20A10C5C89 <171 10 9 8 7 6 3 1>
  173    0 0xffffff7f95bb8000 0x9000     0x9000     com.apple.driver.pmtelemetry (1) E7F4F077-CF46-3A9F-B2F1-F9BFEAA3F5B8 <9 8 7 6 3 1>
  174    1 0xffffff7f95cbd000 0xc2fea    0xc2fea    com.apple.vecLib.kext (1.2.0) 35DDB12B-28E4-30AF-B64C-D145DD02F410 <13 9 8 7 6 3>
  175    2 0xffffff7f955b1000 0x1e000    0x1e000    com.apple.iokit.IOAudioFamily (600.2) 4556BE0C-7F57-3B76-8BB4-41AB8D5EA6DA <174 7 6 3 1>
  176    0 0xffffff7f94a52000 0x5f000    0x5f000    com.apple.driver.AppleGFXHDA (400.1) 5A9F0A08-567B-35E8-85D6-D4AD0E18FC02 <175 157 140 18 9 8 7 6 3 1>
  177    0 0xffffff7f94ad4000 0x1ffe     0x1ffe     com.apple.AGDCPluginDisplayMetrics (8.1.10) 7379ADE1-E35C-3928-8083-3FA45CDC3369 <141 9 8 7 6 3 1>
  182    1 0xffffff7f94acb000 0xfff      0xfff      com.apple.driver.AppleGraphicsControl (8.1.10) AC5586D1-98C0-397B-B831-C1DCFEBEFC7B <9 7 6 3 1>
  183    0 0xffffff7f94aec000 0xcffd     0xcffd     com.apple.driver.AppleGraphicsDevicePolicy (8.1.10) FE9655FF-91B0-3B30-B94C-A458D2AA645C <182 141 140 18 17 9 8 7 6 3 1>
  185    0 0xffffff7f9542c000 0x9ffc     0x9ffc     com.apple.driver.AppleBridgeAudioController (530.2) 823879CB-EEBE-38C2-A953-0BE9C5BBFDE7 <18 9 8 7 6 3 1>
  186    0 0xffffff7f949df000 0xffb      0xffb      com.apple.driver.AppleAudioClockLibs (420.3) 48F0ECDE-D694-3E15-BA81-9331A5C87723 <9 7 6 3 1>
  188    1 0xffffff7f9528f000 0x6ff9     0x6ff9     com.apple.driver.AppleSMBusController (1.0.18d1) 59615EB5-995C-3BC8-804B-F7D35BEBE0F3 <61 18 17 7 6 3>
  189    0 0xffffff7f95212000 0xb000     0xb000     com.apple.driver.AppleMCCSControl (1.17) C301587D-E0EF-3CC8-A5E3-F3F6A8C39999 <188 140 19 18 17 9 7 6 3 1>
  190    0 0xffffff7f95402000 0x3000     0x3000     com.apple.driver.AppleUpstreamUserClient (3.6.12) CB8872EF-E785-38A9-8ECB-E6DF654393FD <140 18 17 9 7 6 3 1>
  191    0 0xffffff7f8cfcd000 0x2ffb     0x2ffb     com.apple.kext.AMDRadeonX6000HWServices (7.0.0) EC7C7690-92C4-3937-BF98-4CB37C1C7C4A <140 18 17 9 7 6 3 1>
  192    0 0xffffff7f8cb22000 0x156ff8   0x156ff8   com.apple.kext.AMDRadeonX6000 (7.0.0) 72574DE5-9646-3F51-AC2E-ADF626B4093B <142 140 100 18 9 7 6 3 1>
  193    0 0xffffff7f8cfd4000 0x553ffc   0x553ffc   com.apple.kext.AMDRadeonX6000HWLibs (1.0) A6CFAEB4-E40E-3E79-B2AF-940CF8D1AD42 <18 7 6 3 1>
  194    0 0xffffff7f95ac1000 0x7ff7     0x7ff7     com.apple.filesystems.autofs (3.0) 81397D73-B779-3075-B334-44D0EF4035AF <171 9 8 7 6 3 2 1>
  195    0 0xffffff7f80fad000 0x2ff8     0x2ff8     com.apple.kext.AMDRadeonServiceManager (7.0.0) CC434F0E-D677-3914-8C0B-33BDE34A88B8 <18 6 3 1>
  196    1 0xffffff7f95769000 0x6000     0x6000     com.apple.driver.X86PlatformShim (1.0.0) EA0E561C-C5C2-3015-A666-6D6CCE28D0E1 <137 136 19 9 6 3>
  197    0 0xffffff7f94b45000 0x1f000    0x1f000    com.apple.driver.AGPM (137) F5092073-7860-35AA-9E0A-E728975EA0AC <157 141 140 136 18 8 7 6 3 1>
  198    0 0xffffff7f95261000 0x1fff     0x1fff     com.apple.driver.ApplePlatformEnabler (2.7.0d0) BB933F9F-4949-3CAC-8615-3B1ACF88955E <9 7 6 3>
  199    0 0xffffff7f95411000 0x3000     0x3000     com.apple.driver.AudioAUUC (1.70) 4805B2F8-A0BA-38A4-8FFC-ED8D32AAF1CF <175 140 18 17 9 7 6 3 1>
  201    0 0xffffff800192c000 0x4ffc     0x4ffc     com.apple.driver.AppleHIDKeyboard (8010.1) 5BD475E6-B8E9-37CF-86ED-1B05F9BB0526 <60 8 7 6 3>
  202    0 0xffffff7f95bd5000 0xa2ff1    0xa2ff1    com.apple.filesystems.smbfs (6.0) FA41BDDB-C37F-3898-9BF1-4B706C6AD313 <171 12 10 9 8 7 6 3 1>
